"BindingDB MonomerID","Ligand SMILES","Gbinding Average"
50023688,"CCCN(CCC)c1cccc(n1)-c1cccc(NC(=O)Nc2ccc(Cl)cc2)c1",6.4295
50023689,"CCCCN(CCCC)c1cccc(n1)-c1cccc(NC(=O)Nc2ccc(Cl)cc2)c1",6.1593
50023690,"CNc1cccc(n1)-c1cccc(NC(=O)Nc2ccc(Cl)cc2)c1",6.4989
50023691,"CCNc1cccc(n1)-c1cccc(NC(=O)Nc2ccc(Cl)cc2)c1",6.7423
50023692,"CCCNc1cccc(n1)-c1cccc(NC(=O)Nc2ccc(Cl)cc2)c1",6.5072
50023693,"CCCCCNc1cccc(n1)-c1cccc(NC(=O)Nc2ccc(Cl)cc2)c1",6.062
50023701,"CCCCCCNc1cccc(n1)-c1cccc(NC(=O)Nc2ccc(Cl)cc2)c1",5.8665
50023704,"CCN(C)c1cccc(n1)-c1cccc(NC(=O)Nc2ccc(Cl)cc2)c1",7.2676
50023715,"CCCN(C)c1cccc(n1)-c1cccc(NC(=O)Nc2ccc(Cl)cc2)c1",6.8069
50023719,"CCCCN(C)c1cccc(n1)-c1cccc(NC(=O)Nc2ccc(Cl)cc2)c1",6.983
50023723,"O=C(Nc1ccccc1)Nc1cccc(c1)-c1cccc(n1)N1CCCC1",6.7799
50023724,"Brc1ccc(NC(=O)Nc2cccc(c2)-c2cccc(n2)N2CCCC2)cc1",7.0088
50042659,"CC(C)(C)c1cc(NC(=O)[C@@H]2CCCN2C2CCOCC2)on1",5.104
50066793,"CCN(CC)c1ccc(CCNC(=O)c2[nH]c3ccc(Cl)cc3c2CC)cc1",6.3161
50066794,"CCCN(CCC)c1ccc(CCNC(=O)c2[nH]c3ccc(Cl)cc3c2CC)cc1",5.7447
50066795,"CCCCCCNc1ccc(CCNC(=O)c2[nH]c3ccc(Cl)cc3c2CC)cc1",5.4413
50066800,"CCc1c([nH]c2ccc(Cl)cc12)C(=O)NCCc1ccccc1",5.5017
50066801,"CCc1c([nH]c2ccc(Cl)cc12)C(=O)NCCc1ccc(OC)cc1",5.5918
50066802,"CCc1c([nH]c2ccc(Cl)cc12)C(=O)NCCc1ccc(cc1)C(C)(C)C",5.6144
50066803,"CCc1c([nH]c2ccc(Cl)cc12)C(=O)NCCc1ccccc1Cl",5.2358
50066804,"CCc1c([nH]c2ccc(Cl)cc12)C(=O)NCCc1cccc(Cl)c1",6.0804
50066805,"CCc1c([nH]c2ccc(Cl)cc12)C(=O)NCCc1cccc(OC)c1",5.6778
50066808,"CCc1c([nH]c2ccc(Cl)cc12)C(=O)NCCc1ccc(Cl)c(Cl)c1",5.6635
50066815,"CCc1c([nH]c2ccc(Cl)cc12)C(=O)NCCc1ccc2OCOc2c1",5.3645
50066828,"CCc1c([nH]c2ccc(Cl)cc12)C(=O)NC1CCN(Cc2ccccc2)C1",5.3224
50066832,"CCc1c([nH]c2ccc(F)cc12)C(=O)NCCc1ccc(cc1)N(C)C",6.6882
50066833,"CCN(CC)c1ccc(CCNC(=O)c2[nH]c3ccc(F)cc3c2CC)cc1",6.4425
50066834,"CCN(CC)c1ccc(CCNC(=O)c2[nH]c3ccc(F)cc3c2C)cc1",6.821
50066835,"CCN(CC)c1ccc(CCNC(=O)c2cc3cc(F)ccc3[nH]2)cc1",6.4976
50066836,"CCN(CC)c1ccc(CCNC(=O)c2cc3cc(Cl)ccc3[nH]2)cc1",7.1024
50066837,"CCc1c([nH]c2ccc(F)cc12)C(=O)NCCc1ccc(cc1)N1CCCCC1",6.2182
50066838,"Cc1c([nH]c2ccc(F)cc12)C(=O)NCCc1ccc(cc1)N1CCCCC1",6.5544
50066839,"Fc1ccc2[nH]c(cc2c1)C(=O)NCCc1ccc(cc1)N1CCCCC1",6.4962
50098184,"COc1ccc(CCNC(=O)Nc2ccc(Cl)cc2)cc1",5.7665
50098802,"[O-][N+](=O)c1ccc(NC(=O)Nc2cccc(c2)-c2cccc(n2)N2CCCC2)cc1",7.0
50105105,"Fc1ccc(cc1)C(CCCN1CCC(CC1)NC(=O)OCCc1ccc(cc1)C#N)c1ccc(F)cc1",5.2154
50160092,"CCCNC(=O)c1cc(-c2ccc(Cl)cc2)c(nc1OCC1CCCCC1)-c1ccc(Cl)cc1Cl",8.284
50160093,"CN(C)C(=O)c1cc(-c2ccc(Cl)cc2)c(nc1Cl)-c1ccc(Cl)cc1Cl",5.8861
