BindingDB MonomerID,Ligand SMILES,Gbinding Average
22988,"CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO, CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO, CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO, CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO, CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO, CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO, CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO, CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO",7.0353
24567,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,5.6021
26144,"CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC(CO)CO, CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC(CO)CO, CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC(CO)CO, CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC(CO)CO",6.2432
27337,CCNC1(CCN(CC1)c1ncnc2n(c(nc12)-c1ccccc1Cl)-c1ccc(Cl)cc1)C(N)=O,9.1549
27338,Clc1ccc(cc1)-n1c(nc2c(NN3CCCCC3)ncnc12)-c1ccc(Cl)cc1Cl,8.1308
27339,Clc1ccc(cc1)-n1c(nc2c(NC3CCCCC3)ncnc12)-c1ccc(Cl)cc1Cl,8.1487
27340,Clc1ccc(cc1)-n1c(nc2c(ncnc12)N1CCCCC1)-c1ccc(Cl)cc1Cl,8.2147
27341,Clc1ccc(cc1)-n1c(nc2c(ncnc12)N1CCCCC1)-c1ccccc1Cl,8.6383
27342,CN1CCN(CC1)c1ncnc2n(c(nc12)-c1ccc(Cl)cc1Cl)-c1ccc(Cl)cc1,8.284
27343,"CN1CCN(CC1)c1ncnc2n(c(nc12)-c1ccccc1Cl)-c1ccc(Cl)cc1, CN1CCN(CC1)c1ncnc2n(c(nc12)-c1ccccc1Cl)-c1ccc(Cl)cc1",8.5378
29061,"Cc1nc2c(-c3ccc(Cl)cc3)n(nc2c(=O)n1CC(F)(F)F)-c1ccccc1Cl, Cc1nc2c(-c3ccc(Cl)cc3)n(nc2c(=O)n1CC(F)(F)F)-c1ccccc1Cl",9.1109
29062,Clc1ccc(cc1)-c1c2CCNC(=O)c2nn1-c1ccccc1Cl,7.2147
29063,CCN1CCc2c(nn(c2-c2ccc(Cl)cc2)-c2ccccc2Cl)C1=O,8.3279
29064,CC(C)N1CCc2c(nn(c2-c2ccc(Cl)cc2)-c2ccccc2Cl)C1=O,8.6021
29065,CC(C)CN1CCc2c(nn(c2-c2ccc(Cl)cc2)-c2ccccc2Cl)C1=O,8.6021
29066,CC(C)(C)N1CCc2c(nn(c2-c2ccc(Cl)cc2)-c2ccccc2Cl)C1=O,8.3279
29067,Clc1ccc(cc1)-c1c2CCN(C3CCCC3)C(=O)c2nn1-c1ccccc1Cl,7.6198
29068,COC(C)(C)CN1CCc2c(nn(c2-c2ccc(Cl)cc2)-c2ccccc2Cl)C1=O,7.9586
29069,FC(F)(F)CN1CCc2c(nn(c2-c2ccc(Cl)cc2)-c2ccccc2Cl)C1=O,8.7696
29070,CC(F)(F)CN1CCc2c(nn(c2-c2ccc(Cl)cc2)-c2ccccc2Cl)C1=O,9.1549
29071,CC(F)(F)CN1CCc2c(C1)nn(c2-c1ccc(Cl)cc1)-c1ccccc1Cl,7.5229
29072,Clc1ccc(cc1)-c1c2OCCNC(=O)c2nn1-c1ccccc1Cl,7.0809
29073,CC(C)N1CCOc2c(nn(c2-c2ccc(Cl)cc2)-c2ccccc2Cl)C1=O,8.8861
29074,FC(F)(F)CN1CCOc2c(nn(c2-c2ccc(Cl)cc2)-c2ccccc2Cl)C1=O,8.7212
29075,"CC(F)(F)CN1CCOc2c(nn(c2-c2ccc(Cl)cc2)-c2ccccc2Cl)C1=O, CC(F)(F)CN1CCOc2c(nn(c2-c2ccc(Cl)cc2)-c2ccccc2Cl)C1=O",9.0431
29076,CCC(F)(F)CN1CCOc2c(nn(c2-c2ccc(Cl)cc2)-c2ccccc2Cl)C1=O,8.8539
29078,"CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)N[C@@H]1C[C@@H]1O, CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)N[C@@H]1C[C@@H]1O",7.7113
